Brand Names
1625
154 BC 
22 Catering Co
46 OUNCES
ACRE
ASHIRVAD PIPES 
AURUM 
BACKSTREET BREWERY
BEANLORE
BHUMIPUTRA PROJECTS 
BLR
BOBS BAR
BOBS BAR 
BOMBAY BRASSERIE
BOMBAY BRASSERIE 
BRAHMA BREWS 
BROTHER BARLEY
BYG
CANDLES 
Chin Lung 
CITRUS HOTEL
DECK OF BREWS
EVOMA 
FISHERMAN
FISHERMAN 
FROM AIR HOME 
GARDEN BY SU
GCBC 
GEIST
GO NATIVE
GXI 
HYATT 
IBH 
IDYLLL
INANNA TAPROOM
ITC
JAMMING GOAT
JAMMING GOAT 
JUGNI
KAKE DI HATTI
KAKE DI HATTI 
KAMPOT 
KHMER KITCHEN
KOSH 
LEELA BC 
LONG BOAT 
LUNA 
MAIZE AND MALT
MISMATCHED 
MR. NISHYARTH
OTERRA 
PAUL JOHN
PAUL JOHN 
PUMP HOUSE
RAKESH KUMAR BAIRWA
RECORD ROOM 
ROXIE 
ROYAL ORCHID 
Runway 27
SALLY 
SARTORIUS STEDIM
SKYYE
SOCIETE RANGOON
SUAY
Suruchi Properties Pvt Ltd
SUSMAFIA
TAIKI
TALES OF FLAMINGO
THE 13TH FLOOR 
THE ASIAN CURRY HOUSE 
THE BIER LIBRARY 
THE LEELA PALACE 
THE LONDON CURRY HOUSE 
The Reservoire
THE ROYALE SENATE 
THE WEEKLY 
TIPSYBULL 
TOPIC
TORO BREWHOUSE KITCHEN
TRAVELLARS BUNGALOW
TUDUM
URAVU HOME 
URU
URVI 
UTK
UTK 
WATSON'S
WHITE GARDEN 
YUCCA 
